x(um) y(um) z(um) u_11 u_12 u_13 u_21 u_22 u_23 u_31 u_32 u_33
119 122 88 0.594279 -0.803365 -0.037955 0.192857 0.096521 0.976468 -0.780812 -0.58759 0.212297
118 122 88 0.594353 -0.80337 -0.036823 0.19358 0.098459 0.976131 -0.780587 -0.587249 0.214034
131 128 88 -0.87276 0.481853 0.078161 -0.023979 0.117605 -0.992765 -0.487565 -0.86833 -0.091079
111 89 88 -0.180959 -0.580127 -0.794168 0.120232 -0.814491 0.567579 -0.976118 0.007228 0.217139
121 135 88 -0.868771 0.488287 0.082627 -0.028924 0.116545 -0.992763 -0.494386 -0.864859 -0.08712
107 91 88 -0.182172 0.793194 -0.581082 0.119156 -0.568807 -0.813792 -0.976023 -0.217483 0.009114
88 130 88 0.449426 0.470271 -0.759516 -0.869914 0.037006 -0.491799 -0.203187 0.881747 0.425731
116 125 88 -0.805105 0.036573 -0.592002 0.09705 -0.976523 -0.192312 -0.585148 -0.212285 0.782649
125 111 88 -0.254672 -0.717917 -0.647867 -0.007557 -0.668458 0.743709 -0.967003 0.194297 0.164812
108 120 88 -0.495967 -0.866924 0.049674 -0.051138 0.086275 0.994952 -0.866836 0.490928 -0.087118
96 135 88 0.749782 0.648548 -0.131204 -0.656677 0.753682 -0.027149 0.081279 0.106514 0.990984
91 118 88 0.44878 0.468751 -0.760833 -0.870386 0.036245 -0.491038 -0.202611 0.882587 0.42425
108 104 88 0.438664 0.815678 -0.377155 0.042839 -0.438193 -0.897856 -0.897636 0.377693 -0.227161
88 104 88 -0.561701 0.037855 -0.826475 -0.027749 -0.999251 -0.026911 -0.826878 0.007817 0.562328
108 102 88 -0.8177 0.440555 -0.370509 0.43599 0.053697 -0.898335 -0.375881 -0.896131 -0.235981
137 113 88 0.183769 0.980578 0.068587 -0.982436 0.185522 -0.020122 -0.032462 -0.063688 0.997436
136 124 88 -0.064827 0.183505 -0.980873 0.022018 -0.982444 -0.185253 -0.997659 -0.033604 0.059643
108 111 88 0.049643 -0.497115 -0.866263 0.994843 -0.052205 0.086965 -0.088455 -0.866113 0.49196
130 137 88 -0.641346 -0.231868 -0.731377 0.753971 -0.013861 -0.656763 0.142147 -0.972648 0.18371
133 88 88 -0.758021 0.408092 0.508785 -0.073691 0.721495 -0.688488 -0.648056 -0.55938 -0.516835
133 127 88 -0.064772 -0.980292 -0.186631 0.023297 -0.188456 0.981804 -0.99763 0.059245 0.035044
137 126 88 -0.064494 0.18309 -0.980971 0.021699 -0.982536 -0.184808 -0.997689 -0.033201 0.059392
89 117 88 0.447622 0.468236 -0.761834 -0.871419 0.037188 -0.48913 -0.200697 0.882816 0.424681
100 111 88 0.826546 -0.561752 -0.035629 0.023505 -0.028795 0.999304 -0.562389 -0.826804 -0.010602
118 104 88 -0.253567 -0.720643 -0.645272 -0.005573 -0.665961 0.745951 -0.967317 0.192735 0.164849
105 137 88 -0.280271 0.958676 0.048515 -0.803114 -0.261871 0.535233 0.525842 0.111024 0.8433
104 115 88 -0.866638 -0.49632 -0.051144 0.087225 -0.049775 -0.994939 0.491263 -0.866713 0.086428
104 97 88 -0.776128 0.587162 -0.229957 0.211333 -0.101423 -0.972127 -0.59411 -0.803107 -0.045388
105 120 88 -0.048063 0.495264 -0.867409 -0.995115 0.051259 0.0844 0.08626 0.867232 0.490377
118 98 88 -0.158042 0.737289 -0.65683 -0.190991 -0.675455 -0.712239 -0.968785 0.012885 0.247566
114 119 88 -0.048303 0.495051 -0.867522 -0.995115 0.051043 0.084529 0.086127 0.867363 0.490159
138 114 88 0.184109 0.980485 0.06901 -0.982363 0.185885 -0.02029 -0.032729 -0.064057 0.997404
130 109 88 -0.156898 0.737659 -0.656689 -0.193616 -0.674992 -0.711965 -0.968454 0.015444 0.248727
91 90 88 -0.34909 0.580708 -0.735475 -0.117648 -0.805791 -0.580385 -0.92968 -0.116074 0.349609
138 111 88 -0.066706 0.184062 -0.980645 0.021287 -0.982352 -0.185832 -0.997548 -0.033268 0.06161
111 96 88 -0.794393 -0.184054 -0.578863 0.567859 0.11335 -0.815285 0.215679 -0.976347 0.014479
113 106 88 -0.647362 -0.25217 -0.719253 0.744273 -0.005778 -0.667844 0.164259 -0.967677 0.191408
117 115 88 0.646277 -0.253606 0.719726 -0.745528 -0.008574 0.666416 -0.162843 -0.967276 -0.194599
133 121 88 -0.065187 0.183093 -0.980928 0.022956 -0.982487 -0.184906 -0.997614 -0.034574 0.059839
98 96 88 0.986633 0.132475 -0.094934 0.02328 0.461951 0.886599 0.161318 -0.876951 0.452689
111 113 88 -0.49699 -0.866284 0.050709 -0.049773 0.086809 0.99497 -0.866328 0.491973 -0.086256
112 92 88 -0.183135 -0.579801 -0.793906 0.120438 -0.814719 0.567211 -0.975685 0.008262 0.21903
109 108 88 -0.865859 -0.497708 -0.050962 0.087228 -0.04987 -0.994931 0.492657 -0.865903 0.086581
116 118 88 -0.251132 -0.719724 -0.647238 -0.011093 -0.666493 0.745432 -0.967895 0.194386 0.159379
126 106 88 -0.157519 0.737979 -0.656182 -0.19352 -0.674658 -0.712306 -0.968371 0.014785 0.249085
136 94 88 -0.756236 0.408918 0.510779 -0.072843 0.723183 -0.686805 -0.65024 -0.556588 -0.517104
115 126 88 0.593666 -0.803832 -0.037677 0.195637 0.098753 0.975691 -0.780574 -0.586597 0.21588
93 98 88 0.137156 0.099115 -0.985576 0.463045 -0.885993 -0.024662 -0.87566 -0.452981 -0.167418
114 112 88 -0.647639 -0.252191 -0.718996 0.743991 -0.00565 -0.668158 0.164447 -0.967672 0.191272
108 103 88 0.817202 0.437349 0.375375 -0.43721 0.046036 0.898174 0.375547 -0.898114 0.228837
106 118 88 -0.048232 0.49531 -0.867374 -0.995051 0.051728 0.084862 0.086899 0.867178 0.490358
120 136 88 -0.868353 0.488975 0.082955 -0.029315 0.11638 -0.992771 -0.4951 -0.86449 -0.086717
123 136 88 0.482811 0.080318 -0.872033 0.115961 -0.99288 -0.027242 -0.868015 -0.08797 -0.488684
123 88 88 0.082673 0.113631 -0.99007 0.755654 -0.65487 -0.012061 -0.649738 -0.747155 -0.140006
